ID,Active,Reference,Summary,Chemical Group,Isomerism,Description,Example pests controlled,Example hosts,Mode of action,Efficacy & activity,LERAP Status,EC Directive 91/414 Status,EU Dossier Rapporteur/Co-Rapporteur,Date inclusion expires,Other status (legislative, convention, NGO),Date of introduction,CASS RN,EC number,CLP index number,CIPAC number,US EPA code,Pesticide type,Substance origin,Metabolite type,Other constituent type,Chemical formula,Molar mass,Minimum active substance purity,Known relevant impurities,Generic name,Preferred IUPAC name (PIN),IUPAC name,CAS name,Canonical SMILES,Isomeric SMILES,International Chemical Identifier key (InChIKey),International Chemical Identifier (InChI),Herbicide Resistance (HRAC) Classification,Herbicide Resistance (WSSA) Classification,Insecticide Resistance (IRAC) Classification,Fungicide Resistance (FRAC) Classification,Examples of recorded resistance,OtherID1,Other constituents in formulations 1,OtherID2,Other constituents in formulations 2,OtherID3,Other constituents in formulations 3,OtherID4,Other constituents in formulations 4,OtherID5,Other constituents in formulations 5,OtherID6,Other constituents in formulations 6,Ex  Manufacturers of products using this active,Ex  Brands,Formulation and Application details,FI,SE,DK,IE,UK,NL,BE,LU,DE,AT,FR,ES,PL,MT,GR,CY,CZ,HU,SK,PT,IT,SI,EE,LV,LT,RO,BU
"951","chrysanthemic acid",,,"Unclassified",,"Chemical transformation product",,,"Not applicable",,"Not applicable","Not applicable","Not applicable","Not applicable",,"Not applicable","10453-89-1","220-908-2",,,"Not applicable","Metabolite","Synthetic","Soil",,"C10H16O2","168.23",,,,,"2,2-dimethyl-3-(2-methylprop-1-enyl)cyclopropane-1-carboxylic acid","2,2-dimethyl-3- (2-methylpropenyl)cyclopropanecarboxylic acid  ","CC(=CC1C(C1(C)C)C(=O)O)C","No data","XLOPRKKSAJMMEW-UHFFFAOYSA-N","InChI=1S/C10H16O2/c1-6(2)5-7-8(9(11)12)10(7,3)4/h5,7-8H,1-4H3,(H,11,12)","Not applicable","Not applicable","Not applicable","Not applicable",,,,,,,,,,,,,,"Not applicable",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1245","8a-hydroxyavermectin B1a","NOA 448112",,"Unclassified",,"Chemical transformation product",,,"Not applicable",,"Not applicable","Not applicable","Not applicable","Not applicable",,"Not applicable",,,,,,"Metabolite","Synthetic","Soil",,,,,,"8a-hydroxyavermectin B1a",,,,,,,,"Not applicable","Not applicable","Not applicable","Not applicable",,,,,,,,,,,,,,"Not applicable",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1246","8a-oxo-avermectine B1a","NOA 448111",,"Unclassified",,"Chemical transformation product",,,"Not applicable",,"Not applicable","Not applicable","Not applicable","Not applicable",,"Not applicable",,,,,,"Metabolite","Synthetic","Soil",,,,,,"8a-oxo-avermectine B1a",,,,,,,,"Not applicable","Not applicable","Not applicable","Not applicable",,,,,,,,,,,,,,"Not applicable",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1405","4,8a-dihydroxy-avermectin B1a","NOA 457464",,"Unclassified",,"Chemical transformation product",,,"Not applicable",,"Not applicable","Not applicable","Not applicable","Not applicable",,,,,,,,"Metabolite","Synthetic","Soil",,,,,,,,,"4,8a-dihydroxy-avermectin B1a",,,,,"Not applicable","Not applicable","Not applicable","Not applicable",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1406","8a-oxo-4-hydroxy-avermectin B1a","NOA 457465",,"Unclassified",,"Chemical transformation product",,,"Not applicable",,"Not applicable","Not applicable","Not applicable","Not applicable",,,,,,,,"Metabolite","Synthetic","Soil",,,,,,,,"4-hydroxy-8aoxo-oxo-avermectin-B1a","8a-oxo-4-hydroxy-avermectin B1a",,,,,"Not applicable","Not applicable","Not applicable","Not applicable",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1448","N-demethylated spinosyn D",,,"Unclassified",,"Chemical transformation product",,,"Not applicable",,"Not applicable","Not applicable","Not applicable","Not applicable",,,,,,,,"Metabolite","Synthetic","Soil",,,,,,,,,"N-demethylated spinosyn D",,,,,"Not applicable","Not applicable","Not applicable","Not applicable",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2225","27-hydroxy-milbemycin A4",,,"Unclassified",,"Chemical degradation product",,,"Not applicable",,"Not applicable","Not applicable","Not applicable","Not applicable","Not applicable",,,,,,,"Metabolite","Natural","Soil",,,,,,"27-hydroxy-milbemycin A4",,,,,,,,"Not applicable","Not applicable","Not applicable","Not applicable",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2226","27-keto-milbemycin A4",,,"Unclassified",,"Chemical degradation product",,,"Not applicable",,"Not applicable","Not applicable","Not applicable","Not applicable","Not applicable",,,,,,,"Metabolite","Natural","Soil",,,,,,"27-keto-milbemycin A4",,,,,,,,"Not applicable","Not applicable","Not applicable","Not applicable",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2462","8a-hydroxy-4-deoxy-4-epi-methylamino avermectin B1a","NOA 438306",,"Unclassified",,"Chemical transformation product",,,"Not applicable",,"Not applicable","Not applicable","Not applicable","Not applicable",,"Not applicable",,,,,"Not applicable","Metabolite","Synthetic","Soil",,,,,,"8a-OH MAB1a",,,"8a-hydroxy-4-deoxy-4-epi-methylamino avermectin B1a",,,,,"Not applicable","Not applicable","Not applicable","Not applicable",,,,,,,,,,,,,,"Not applicable",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2463","(4R)-5-O-demethyl-4-deoxy-4-(methylamino)-28-oxoavermectin A1a","NOA 438307",,"Unclassified",,"Chemical transformation product",,,"Not applicable",,"Not applicable","Not applicable","Not applicable","Not applicable",,"Not applicable","169265-47-8",,,,"Not applicable","Metabolite","Synthetic","Soil",,,,,,"8a-oxo MAB1a",,,"(4R)-5-O-demethyl-4-deoxy-4-(methylamino)-28-oxoavermectin A1a",,,,,"Not applicable","Not applicable","Not applicable","Not applicable",,,,,,,,,,,,,,"Not applicable",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2464","N-nitroso MAB1a",,,"Unclassified",,"Chemical transformation product",,,"Not applicable",,"Not applicable","Not applicable","Not applicable","Not applicable",,"Not applicable",,,,,"Not applicable","Metabolite","Synthetic","Soil",,,,,,"N-nitroso MAB1a",,,,,,,,"Not applicable","Not applicable","Not applicable","Not applicable",,,,,,,,,,,,,,"Not applicable",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2465","(4R)-5-O-demethyl-4-deoxy-4-(formylmethylamino)-avermectin A1a","NOA 415692",,"Unclassified",,"Chemical transformation product",,,"Not applicable",,"Not applicable","Not applicable","Not applicable","Not applicable",,"Not applicable","169265-46-7",,,,"Not applicable","Metabolite","Synthetic","Soil",,,,,,,,,"(4R)-5-O-demethyl-4-deoxy-4-(formylmethylamino)-avermectin A1a",,,,,"Not applicable","Not applicable","Not applicable","Not applicable",,,,,,,,,,,,,,"Not applicable",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"688","benzo(1,2,3)thiadiazole-7-carboxylic acid","CGA 210007",,"Unclassified",,"Chemical transformation product",,,"Not applicable",,"Not applicable","Not applicable","Not applicable","Not applicable",,"Not applicable",,,,,"Not applicable","Metabolite","Synthetic","Soil, Plant, Surface water, Groundwater, Sediment",,,"180.2",,,,,,"benzo(1,2,3)thiadiazole-7-carboxylic acid",,,,,"Not applicable","Not applicable","Not applicable","Not applicable",,,,,,,,,,,,,,"Not applicable",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"689","2-hydroxy-2',6'-diethyl-N-(methoxymethyl)acetanilide",,,"Chloroacetanilide",,"Chemical transformation product",,,"Not applicable",,"Not applicable","Not applicable","Not applicable","Not applicable",,"Not applicable","56681-55-1",,,,"Not applicable","Metabolite","Synthetic","Soil",,"C14H21NO3 ","251.32",,,,,"N-(2,6-diethylphenyl)-2-hydroxy-N-(methoxymethyl)acetamide ","2-hydroxy–2',6'-diethyl-N-(methoxymethyl)acetanilide",,,,"InChI=1S/C12H15N2O3PS/c1-3-15-18(19,16-4-2)17-14-12(10-13)11-8-6-5-7-9-11/h5-9H,3-4H2,1-2H3/b14-12+","Not applicable","Not applicable","Not applicable","Not applicable",,,,,,,,,,,,,,"Not applicable",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
